Player,Team,League,Age,Passport country,Foot,Minutes played,Tier,SQS Rank,Lamberts Index,Status,Mkt Val (€),Model Val (€),Val Ratio,vs Hradec,Goals/90,Assists/90,xA/90,Prog Pass/90,Key Pass/90,BenhamScore,RedBullScore
V. Chyla,Podbrezová,Slovakia,22.0,Slovakia,,1857,VALUE,39.83,11.7,DEPTH,0.0,0.0,,-13.9,0.1,0.0,0.02,5.72,0.19,31.04,71.89
Š. Chaloupek,Slavia Praha,Czech II,22.0,Czech Republic,right,38,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
Š. Planeta,Příbram,Czech II,22.0,Czech Republic,,214,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
A. Sojka,Viktoria Plzeň,Czech,23.0,Czech Republic,left,2154,ELITE VALUE,74.67,46.54,CLEAR UPGRADE,0.0,0.0,,21.0,0.13,0.08,0.07,6.14,0.25,64.83,91.31
D. Holaň,Baník Ostrava II,Czech II,23.0,Czech Republic,,2141,ELITE VALUE,71.41,43.28,CLEAR UPGRADE,0.0,0.0,,17.7,0.17,0.0,0.14,7.23,0.29,69.25,71.33
D. Holoubek,FS Jelgava,Latvia,23.0,Czech Republic,right,1267,ELITE VALUE,81.88,53.75,CLEAR UPGRADE,0.0,0.0,,28.2,0.0,0.07,0.08,6.32,0.36,60.04,97.68
K. Daněk,LASK,Austria,23.0,Czech Republic,left,1485,OVERPRICED,65.75,-25.24,CLEAR UPGRADE,1000000.0,1315000.0,1.3×,12.0,0.12,0.12,0.16,3.58,0.67,84.67,84.89
M. Diakite,Šamorín,Slovakia II,23.0,Slovakia,,9,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
M. Domik,Slávia TU Košice,Slovakia II,23.0,Slovakia,,681,HIGH VALUE,51.36,23.23,ROTATIONAL / COVER,0.0,0.0,,-2.3,0.0,0.13,0.08,4.89,0.4,52.24,48.17
M. Domik,Slávia TU Košice,Slovakia,23.0,Slovakia,,367,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
M. Kudela,Hanácká,Czech II,23.0,Czech Republic,,443,OVERPRICED,14.12,-14.01,DEPTH,0.0,0.0,,-39.6,0.0,0.0,0.02,4.47,0.0,9.55,93.3
M. Šviderský,Slovácko,Czech,23.0,Slovakia,left,1219,OVERPRICED,33.18,-43.6,DEPTH,300000.0,199080.0,0.7×,-20.5,0.0,0.0,0.06,5.32,0.3,37.84,58.15
P. Kulíšek,Hanácká,Czech II,23.0,Czech Republic,right,1622,OVERPRICED,11.85,-45.77,DEPTH,50000.0,11850.0,0.2×,-41.9,0.0,0.0,0.02,5.55,0.06,14.93,58.72
S. Varga,Šamorín,Slovakia II,23.0,"Slovakia, Hungary",unknown,1715,ELITE VALUE,83.62,55.49,CLEAR UPGRADE,0.0,0.0,,29.9,0.21,0.05,0.11,6.66,0.47,80.86,92.76
T. Buchvaldek,Ružomberok,Slovakia,23.0,Czech Republic,,351,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
