IMPECT_PlayerID,IMPECT_Name,IMPECT_FirstName,IMPECT_LastName,IMPECT_Team,IMPECT_Competition,IMPECT_Country,IMPECT_Season,Wyscout_Name,Wyscout_Team,Wyscout_Position,Wyscout_Age,Wyscout_File,MatchConfidence,LastNameMatchScore,TeamMatchScore,InitialMatch
16292,Tomi Juric,Tomi,Juric,FC Koper,Prva Liga,Serbia,25/26,D. Jurić,Wisła Płock,CF,28.0,Slovenia.xlsx,LOW,100,23.529411764705884,False
168145,Tomislav Jagic,Tomislav,Jagic,NK Aluminij Kidricevo,Prva Liga,Serbia,25/26,T. Jagić,Aluminij,"LCMF, DMF, RCMF",28.0,Slovenia.xlsx,HIGH,100,100.0,True
13048,Toni Domgjoni,Toni,Domgjoni,FC Koper,Prva Liga,Serbia,25/26,T. Domgjoni,Ballkani,"RDMF, RCMF, LCMF",27.0,Slovenia.xlsx,LOW,100,12.5,True
87147,Uros Likar,Uros,Likar,NK Bravo,Prva Liga,Serbia,25/26,U. Likar,AŠK Bravo,GK,26.0,Slovenia.xlsx,HIGH,100,82.35294117647058,True
86420,Veljko Jelenkovic,Veljko,Jelenkovic,NK Olimpija Ljubljana,Prva Liga,Serbia,25/26,V. Jelenković,Olimpija,"RCB, CB, LCB",22.0,Slovenia.xlsx,HIGH,100,100.0,True
215944,Veljko Mijailovic,Veljko,Mijailovic,FC Koper,Prva Liga,Serbia,25/26,V. Mijailović,Koper,"RB, RWB",25.0,Slovenia.xlsx,HIGH,100,100.0,True
276700,Victor Ehibe,Victor,Ehibe,NK Domzale,Prva Liga,Serbia,25/26,V. Ehibe,Domžale,"LWB, LB, LWF",20.0,Slovenia.xlsx,HIGH,100,100.0,True
185424,Victor Ntino-Emo Gidado,,,NK Bravo,Prva Liga,Serbia,25/26,V. Gidado,Gaziantep,"RDMF, RCMF, RW",21.0,Slovenia.xlsx,LOW,100,23.529411764705884,True
232666,Vid Chinoso Juvancic,,,NK Radomlje,Prva Liga,Serbia,25/26,V. Juvancic,NK Radomlje U19,"LW, LAMF",17.0,Slovenia.xlsx,HIGH,100,100.0,True
99673,Vid Koderman,Vid,Koderman,NK Aluminij Kidricevo,Prva Liga,Serbia,25/26,V. Koderman,Aluminij,"LWB, LB, RW",23.0,Slovenia.xlsx,HIGH,100,100.0,True
13502,Vitaliy Lisakovich,Vitaliy,Lisakovich,NK Celje,Prva Liga,Serbia,25/26,V. Lisakovich,Celje,"CF, AMF, RCMF",28.0,Slovenia.xlsx,HIGH,100,100.0,True
169120,Vénuste Baboula,Vénuste,Baboula,NK Bravo,Prva Liga,Serbia,25/26,V. Baboula,AŠK Bravo,"RW, RWF, RAMF",27.0,Slovenia.xlsx,HIGH,100,82.35294117647058,True
115610,Zan Besir,Zan,Besir,ND Primorje,Prva Liga,Serbia,25/26,Ž. Bešir,Primorje,"RCMF, DMF",25.0,Slovenia.xlsx,HIGH,100,100.0,True
3221,Zan Flis,Zan,Flis,NS Mura,Prva Liga,Serbia,25/26,Ž. Flis,Mura,"LCB, LB",28.0,Slovenia.xlsx,MEDIUM,100,100.0,True
37644,Zan Karnicnik,Zan,Karnicnik,NK Celje,Prva Liga,Serbia,25/26,Ž. Karničnik,Celje,"LB, RB, LCMF",31.0,Slovenia.xlsx,HIGH,100,100.0,True
181974,Zan Petrovic,Zan,Petrovic,NS Mura,Prva Liga,Serbia,25/26,Ž. Petrovič,Mura,"LB, LWB",19.0,Slovenia.xlsx,HIGH,100,100.0,True
168139,Zan Zaler,Zan,Zaler,NK Radomlje,Prva Liga,Serbia,25/26,Ž. Žaler,Radomlje,LCB,23.0,Slovenia.xlsx,HIGH,100,100.0,True
78657,Zan-Luk Leban,Zan-Luk,Leban,NK Celje,Prva Liga,Serbia,25/26,Z. Leban,Celje,GK,23.0,Slovenia.xlsx,HIGH,100,100.0,True
31035,Ziga Repas,Ziga,Repas,NK Maribor,Prva Liga,Serbia,25/26,Z. Repas,Maribor,"AMF, LCMF",24.0,Slovenia.xlsx,MEDIUM,100,100.0,True
7384,Álex Blanco,Álex,Blanco,NK Olimpija Ljubljana,Prva Liga,Serbia,25/26,Álex Blanco,Olimpija,"LB, RW, LWB",27.0,Slovenia.xlsx,HIGH,100,100.0,True
106706,Óscar Zambrano,Óscar,Zambrano,NK Maribor,Prva Liga,Serbia,25/26,Ó. Zambrano,Maribor,"RCMF, AMF",22.0,Slovenia.xlsx,HIGH,100,100.0,True
67053,Aarón Rey,Aarón,Rey,AC Bellinzona,Challenge League,Switzerland,25/26,Aarón Rey,Bellinzona,"LCMF, AMF, CF",28.0,Switzerland II.xlsx,HIGH,100,100.0,True
41341,Adonis Ajeti,Adonis,Ajeti,FC Rapperswil-Jona,Challenge League,Switzerland,25/26,A. Ajeti,Rapperswil-Jona,LCB,29.0,Switzerland II.xlsx,HIGH,100,100.0,True
126406,Alan Omerovic,Alan,Omerovic,FC Rapperswil-Jona,Challenge League,Switzerland,25/26,A. Omerovic,Rapperswil-Jona,GK,23.0,Switzerland II.xlsx,HIGH,100,100.0,True
277759,Alessandro Grano,Alessandro,Grano,AC Bellinzona,Challenge League,Switzerland,25/26,A. Grano,Bellinzona,"RW, LCMF, LWB",19.0,Switzerland II.xlsx,HIGH,100,100.0,True
49581,Alexander Muci,Alexander,Muci,AC Bellinzona,Challenge League,Switzerland,25/26,A. Muci,Bellinzona,GK,25.0,Switzerland II.xlsx,HIGH,100,100.0,True
112612,Alexandre Patrício,Alexandre,Patrício,Etoile Carouge FC,Challenge League,Switzerland,25/26,Alexandre Patrício,Étoile Carouge,CF,22.0,Switzerland II.xlsx,MEDIUM,100,100.0,True
91947,Alexis Charveys,Alexis,Charveys,FC Rapperswil-Jona,Challenge League,Switzerland,25/26,A. Charveys,Rapperswil-Jona,"LDMF, DMF",26.0,Switzerland II.xlsx,HIGH,100,100.0,True
