Player,Team,_League,Age,Passport country,Foot,Minutes played,Market value,Eight Score,Progressive passes per 90,Key passes per 90,Through passes per 90,Shots per 90,Goals per 90,xG per 90,Progressive runs per 90
Z. Zuzek,Dravinja,Slovenia II,19.0,Slovenia,unknown,923,0,25.26,4.39,0.2,0.2,1.37,0.1,0.06,0.29
H. Hemmingsen,Næsby,Denmark IV,21.0,Denmark,,1833,0,25.16,7.76,0.0,0.1,0.64,0.0,0.05,0.83
J. Niedzielski,Warta Poznań,Poland III,21.0,Poland,,1320,0,25.02,7.91,0.07,0.27,0.34,0.0,0.02,0.95
R. Minerba,FA 2000,Denmark IV,21.0,Denmark,,2299,25000,24.65,4.38,0.2,0.31,0.39,0.08,0.06,0.9
M. Heyde,Nordsjælland U21,Denmark,19.0,Denmark,right,509,0,24.02,8.84,0.0,0.18,1.06,0.0,0.04,0.35
M. Beyer,Ishøj,Denmark III,20.0,Denmark,right,566,0,23.86,2.86,0.16,0.16,0.32,0.16,0.02,2.23
J. Ficko,Primorje,Slovenia,22.0,Slovenia,right,1977,0,23.48,3.28,0.14,0.23,0.96,0.05,0.09,0.91
K. Sommerfeld,Rekord Bielsko-Biała,Poland II,22.0,Poland,both,580,0,23.45,4.34,0.16,0.31,1.09,0.0,0.04,0.78
F. Kristoffersen,Træff,Norway III,22.0,Norway,right,663,0,23.3,3.94,0.14,0.14,1.22,0.0,0.29,0.68
E. Halldórsson,Thór,Iceland,17.0,Iceland,unknown,583,0,22.98,4.01,0.31,0.0,1.08,0.0,0.03,1.08
M. Lorber,Lokomotiva Zagreb,Slovenia,22.0,Slovenia,right,658,0,22.69,5.74,0.0,0.27,0.68,0.0,0.04,1.23
E. Silseth,Træff,Norway III,20.0,Norway,unknown,527,0,22.62,3.24,0.34,0.51,0.68,0.0,0.03,0.85
J. Petzold,Follo,Norway III,20.0,Norway,unknown,687,0,22.42,2.36,0.26,0.13,0.79,0.13,0.17,0.52
M. Schütt Rasmussen,HB Køge,Denmark II,20.0,Denmark,,977,0,22.33,4.42,0.37,0.18,0.74,0.0,0.01,1.11
J. Kovačič,Mura U17,Slovenia,17.0,Slovenia,unknown,441,0,22.13,2.65,0.2,0.61,0.61,0.0,0.04,1.02
A. Kristiansen,Vendsyssel,Denmark III,18.0,Denmark,,769,0,21.61,3.04,0.35,0.12,0.94,0.0,0.12,0.82
J. Hjalmar,Norrby,Sweden II,20.0,Sweden,,871,0,21.27,5.48,0.1,0.0,1.45,0.0,0.09,0.52
A. Baždarić,Trenčín,Slovakia,20.0,"Slovenia, Croatia",left,1041,0,21.14,5.1,0.09,0.43,0.86,0.0,0.04,0.95
G. Kabal,Nõmme United,Estonia,18.0,Estonia,,676,0,20.22,5.86,0.13,0.13,0.93,0.0,0.11,0.27
V. Svensson,Brønshøj,Denmark IV,20.0,Denmark,both,1025,0,19.45,3.16,0.09,0.18,1.67,0.09,0.17,0.09
A. Søgaard,HIK,Denmark III,18.0,Denmark,unknown,702,0,19.14,3.33,0.0,0.26,0.77,0.13,0.17,1.03
K. Ćwielong,Sandecja Nowy Sącz,Poland III,18.0,Poland,,438,0,19.12,3.9,0.0,0.0,1.44,0.0,0.11,1.85
J. Štukelj,Krško,Slovenia II,19.0,Slovenia,unknown,884,0,18.96,3.46,0.31,0.41,0.61,0.0,0.02,1.22
A. Bakeng-Rogne,Pors Grenland,Norway III,21.0,Norway,right,679,0,16.59,2.92,0.27,0.13,0.93,0.0,0.07,1.06
I. Wiman,Tvååker,Sweden III,22.0,Sweden,,761,0,16.42,5.91,0.12,0.47,0.0,0.0,0.0,0.47
M. Trengereid,Arendal,Norway III,22.0,Norway,left,581,0,16.13,3.56,0.0,0.0,0.93,0.0,0.22,1.39
M. Mork,Træff,Norway III,18.0,Norway,unknown,657,0,15.83,5.75,0.0,0.41,0.96,0.0,0.05,0.55
A. Asmussen,Rimini,Italy III - Part IV,20.0,Denmark,,800,0,15.65,2.14,0.11,0.11,0.9,0.11,0.19,0.23
O. Multala,Ilves,Finland,19.0,Finland,unknown,516,0,14.95,4.71,0.17,0.17,0.17,0.17,0.02,0.35
M. Nedergaard,Skive,Denmark III,21.0,Denmark,,1876,0,14.65,5.57,0.14,0.05,0.67,0.0,0.03,1.15
A. Vodopivec,Dravinja,Slovenia II,19.0,Slovenia,unknown,559,0,13.99,3.22,0.16,0.0,1.29,0.0,0.06,0.97
T. Horneland Hildal,Lysekloster,Norway III,23.0,Norway,,681,0,13.63,5.02,0.0,0.4,0.4,0.0,0.01,1.85
M. Fjodorovs,FK Grobiņa,Latvia,22.0,Latvia,right,652,100000,13.57,9.25,0.0,0.28,0.41,0.0,0.04,0.28
P. Mang,Lyseng,Denmark IV,21.0,Denmark,right,1431,0,12.87,4.21,0.06,0.13,0.44,0.06,0.09,1.19
R. Huhtamäki,KäPa,Finland II,19.0,Finland,unknown,573,0,12.43,5.03,0.0,0.31,0.79,0.0,0.06,0.16
J. Jaroch,Unia Skierniewice,Poland III,18.0,Poland,unknown,455,0,11.98,5.54,0.0,0.2,0.99,0.0,0.02,0.59
O. Ocampo Hägglund,Trollhättan,Sweden III,22.0,Sweden,unknown,461,0,11.94,7.03,0.0,0.2,0.39,0.0,0.01,0.39
A. Bukowski,Stal Mielec,Poland II,23.0,Poland,right,719,0,11.78,3.13,0.0,0.13,0.5,0.13,0.13,0.38
I. Mendolin,Oulu,Finland,19.0,Finland,right,836,0,10.83,5.28,0.11,0.11,0.75,0.11,0.02,0.43
S. Brodersen,Ishøj,Denmark III,23.0,Denmark,,567,0,10.44,5.24,0.0,0.0,0.16,0.16,0.04,0.79
C. Axede,Norrby,Sweden II,20.0,Sweden,right,688,0,10.14,4.45,0.13,0.0,0.92,0.0,0.13,0.13
I. Kartau,Harju JK,Estonia,20.0,Estonia,,1226,0,9.87,5.73,0.07,0.73,0.15,0.0,0.0,0.37
M. Aaserud,Sotra,Norway III,22.0,Norway,right,673,0,9.02,5.48,0.13,0.0,0.4,0.0,0.02,0.67
B. Wandachowicz,Sokół Kleczew,Poland III,20.0,Poland,,1433,0,8.38,4.77,0.13,0.31,0.57,0.0,0.04,0.31
T. Lundbergh,Malmö FF,Sweden,17.0,Sweden,unknown,588,0,7.52,6.73,0.15,0.0,0.15,0.0,0.01,0.0
N. Leinonen,KäPa,Finland II,23.0,Finland,,511,0,7.48,2.29,0.18,0.35,0.53,0.0,0.03,0.88
D. Alfonsi,Karlstad,Sweden III,19.0,Sweden,right,410,0,7.45,4.83,0.0,0.22,0.88,0.0,0.05,0.66
M. Vrabec,ND Slovan Ljubljana,Slovenia II,20.0,Slovenia,unknown,1041,0,7.37,5.53,0.0,0.26,0.09,0.0,0.0,1.3
E. Kiiskilä,Inter Turku,Finland,18.0,Finland,unknown,440,0,6.35,3.48,0.0,0.2,0.41,0.0,0.06,0.82
I. Vural,Pisa,Italy,19.0,"Sweden, Türkiye",right,811,0,6.25,2.89,0.11,0.11,0.67,0.0,0.06,0.67
T. Engebakken,Raufoss,Norway II,19.0,Norway,unknown,437,0,5.88,3.3,0.0,0.0,1.03,0.0,0.07,1.65
F. Kocaba,Zagłębie Lubin,Poland,21.0,Poland,right,2717,0,5.36,4.17,0.13,0.13,0.5,0.07,0.03,0.53
N. Geiger,Karlberg,Sweden III,20.0,Sweden,,546,0,5.3,3.79,0.0,0.33,0.16,0.0,0.0,1.48
T. Sommer,FA 2000,Denmark IV,20.0,Denmark,,1355,0,5.0,4.05,0.13,0.27,0.4,0.0,0.01,0.8
K. Karlsson,Degerfors,Sweden,21.0,Sweden,right,785,0,4.58,6.31,0.0,0.11,0.11,0.0,0.0,0.46
K. Łukasiak,Katowice,Poland,22.0,Poland,right,718,0,4.53,4.51,0.0,0.25,0.5,0.0,0.07,0.13
B. Zawojski,Zagłębie Sosnowiec,Poland III,19.0,Poland,unknown,511,0,4.43,2.82,0.0,0.0,1.41,0.0,0.06,0.88
S. Soo,Harju JK,Estonia,21.0,Estonia,right,479,0,4.09,4.89,0.0,0.38,0.19,0.0,0.04,0.19
R. Pllana,Pors Grenland,Norway III,23.0,Norway,,485,0,3.62,4.45,0.0,0.0,0.56,0.0,0.06,0.74
A. Kujović,Jesenice,Slovenia II,22.0,Slovenia,right,776,0,3.6,4.06,0.12,0.35,0.35,0.0,0.01,0.7
S. Prestmo,Moss,Norway II,19.0,Norway,unknown,683,0,3.55,3.56,0.0,0.13,0.66,0.0,0.03,0.66
S. Beck,Strømmen,Norway II,23.0,Norway,left,677,0,3.46,4.39,0.0,0.0,1.06,0.0,0.04,0.27
Alan Jahic,Vanløse,Denmark IV,19.0,Denmark,unknown,614,0,3.24,3.52,0.0,0.15,0.15,0.0,0.03,1.47
J. Staniszewski,Pogoń Grod. Mazowiecki,Poland II,20.0,Poland,right,802,0,3.13,2.92,0.11,0.0,0.79,0.0,0.03,0.45
T. Ytterland,Levanger,Norway III,20.0,Norway,,564,0,2.74,2.71,0.0,0.64,0.32,0.0,0.05,0.32
N. Barkovskis,SK Super Nova,Latvia,19.0,Latvia,left,544,0,2.65,3.14,0.0,0.0,0.5,0.17,0.04,0.5
B. Manniche,Fremad Amager,Denmark III,21.0,Denmark,unknown,462,0,1.81,4.09,0.0,0.19,0.39,0.0,0.03,0.19
B. Piotrowski,Polonia Warszawa,Poland II,20.0,Poland,right,576,0,0.84,2.81,0.0,0.0,0.94,0.0,0.05,0.47
F. Fenger,Lyseng U21,Denmark IV,20.0,Denmark,,832,0,0.73,4.33,0.11,0.11,0.11,0.0,0.03,0.22
V. Halset,Bjarg,Norway III,23.0,Norway,,604,0,0.56,2.83,0.0,0.3,0.6,0.0,0.01,0.3
