Player,Team,Position,Age,File
T. Pembélé,Le Havre,"LB, RB, RCB",23.0,France.xlsx
M. Lahdo,Brøndby,"RW, LW, RWF",23.0,France.xlsx
M. Courcoul,Angers SCO,"LDMF, RDMF, LCMF",19.0,France.xlsx
M. Amougou,Strasbourg,"RCMF, LCMF",20.0,France.xlsx
E. Koffi Vinette,Le Havre U19,LB,20.0,France.xlsx
R. Vaz,Roma,"CF, AMF, LAMF",18.0,France.xlsx
G. Kyeremeh,Le Havre,"RWF, CF, LW",25.0,France.xlsx
N. Edjouma,Lille,"RWF, RAMF, RW",20.0,France.xlsx
E. Biumla,Angers SCO,"CB, RCB",21.0,France.xlsx
H. Makalou,Brest,"LCMF, RCMF, AMF",19.0,France.xlsx
K. Quetant,Le Havre U19,CF,19.0,France.xlsx
R. Le Guen,Brest,"LCB, RCB",19.0,France.xlsx
H. Djibirin,Angers SCO,"RW, RAMF, LAMF",19.0,France.xlsx
Q. Ndjantou,PSG U19,"LCMF, RCMF",18.0,France.xlsx
L. Coulibaly,Auxerre,"RW, RAMF, RWB",23.0,France.xlsx
G. Perrin,Lille,"CF, RAMF, LW",29.0,France.xlsx
Y. Namli,PEC Zwolle,"RW, AMF, RWF",31.0,France.xlsx
T. Nnadi,Olympique Marseille,"RCMF, RDMF",22.0,France.xlsx
Julien Le Cardinal,Saint-Étienne,"LCB, RCB",28.0,France.xlsx
E. Nwaneri,Olympique Marseille,"AMF, RW, RAMF",19.0,France.xlsx
L. Mpasi,Le Havre,GK,31.0,France.xlsx
T. Ollila,Paris,LB,26.0,France.xlsx
M. De Carvalho,Olympique Lyonnais,"LCMF, LDMF",21.0,France.xlsx
T. Siwe,Auxerre II,"RCB, LCB, CB",21.0,France.xlsx
M. Broholm,Lille,"RAMF, RW",21.0,France.xlsx
L. Zogbé,Brest,"RB, LB",21.0,France.xlsx
L. Michal,Metz,"RAMF, RW, RWB",20.0,France.xlsx
M. Mbaye,Zulte-Waregem,"RAMF, RB",22.0,France.xlsx
B. Deuff,Nantes,"RCMF, CF",20.0,France.xlsx
Hong Hyun-Seok,Gent,RCMF,26.0,France.xlsx
B. Kamara,Lorient,GK,29.0,France.xlsx
M. Acapandié,Nantes,"RB, RWB, LB",21.0,France.xlsx
T. Ndombèlé,Nice,LCMF,29.0,France.xlsx
A. Haidara,Lens,"LCMF, LDMF, RDMF",28.0,France.xlsx
A. Bamba,Angers SCO,RCB,36.0,France.xlsx
M. Bokele,Dunkerque,"LW, RWB, LWF",22.0,France.xlsx
R. Ghezzal,Olympique Lyonnais,"RWF, RW, RAMF",34.0,France.xlsx
A. Dioussé,Auxerre,"LCMF, RCMF",28.0,France.xlsx
R. Khadra,Le Havre,"RW, CF, LW",24.0,France.xlsx
J. Vignolo,Toulouse,"RW, RWF, RWB",19.0,France.xlsx
J. Asoro,Djurgården,CF,27.0,France.xlsx
A. Bodart,Lille,GK,28.0,France.xlsx
A. Masuaku,Lens,"LCB, LWB",32.0,France.xlsx
J. Kalumba,Mallorca,"RW, LWF, RWF",21.0,France.xlsx
S. Diaoune,Lille U19,"CF, AMF, LAMF",18.0,France.xlsx
M. Zinga,Angers SCO,GK,24.0,France.xlsx
U. Garcia,Olympique Marseille,"LB, LWB",30.0,France.xlsx
T. Delaine,,LB,34.0,France.xlsx
S. Idumbo,Monaco,"LWB, LAMF, LCMF",20.0,France.xlsx
A. Camara,Nantes,"RW, LW",20.0,France.xlsx
K. Antonio,Lens,RCB,18.0,France.xlsx
M. Cafaro,Paris,LW,29.0,France.xlsx
J. Canvot,Crystal Palace,"RCMF, RCB",19.0,France.xlsx
P. Carlgren,Nantes,GK,34.0,France.xlsx
R. Bellucci Marin,PSG,GK,19.0,France.xlsx
M. Silistrie,Rennes U21,GK,20.0,France.xlsx
O. Pona,Angers SCO,GK,19.0,France.xlsx
G. Mikautadze,Villarreal,CF,25.0,France.xlsx
D. Fofana,Strasbourg,CF,23.0,France.xlsx
B. Madjo,Aston Villa,CF,17.0,France.xlsx
P. Brunner,Monaco,"AMF, CF, RWF",20.0,France.xlsx
M. Bombito,Nice,CB,26.0,France.xlsx
R. Himbert,Olympique Lyonnais,"CF, LW",18.0,France.xlsx
B. Nguene,Standard Liège,"CF, LW, RW",19.0,France.xlsx
Y. Dieme,Strasbourg,CF,18.0,France.xlsx
J. Allevinah,Kasımpaşa,"RW, LAMF, CF",30.0,France.xlsx
A. Bermont,Lens,"LWB, RWB, LAMF",21.0,France.xlsx
F. Mendy,Watford,RCB,25.0,France.xlsx
D. Mosengo,Le Havre,"DMF, LCB, RCMF",19.0,France.xlsx
I. Gueye,Udinese,CF,19.0,France.xlsx
G. Osho,Cardiff City,"RB, RCB",27.0,France.xlsx
F. Rieder,Augsburg,RCMF,23.0,France.xlsx
P. Pogba,Monaco,"LDMF, RCMF, RDMF",33.0,France.xlsx
E. Da silva,Nice U19,DMF,18.0,France.xlsx
L. Doucet,Dunkerque,"RCMF, LCMF",23.0,France.xlsx
N. Mukiele,Rennes,"LW, LWF, LAMF",20.0,France.xlsx
U. Radaković,Nantes,"CB, RDMF, AMF",32.0,France.xlsx
G. Abuasavili,Metz,"LAMF, LW",22.0,France.xlsx
D. Bakwa,Nottingham Forest,"RWB, RB, LB",23.0,France.xlsx
N. Obougou jacquet,Le Havre,CF,20.0,France.xlsx
N. Dicko,Al Bataeh,"CF, AMF",34.0,France.xlsx
F. Sylla,Lens,"LCMF, RCMF",20.0,France.xlsx
G. Bernardeau,Nice,"RAMF, AMF, LAMF",20.0,France.xlsx
D. Bakola,Sassuolo,"CF, AMF, RDMF",18.0,France.xlsx
J. Pandore,Metz U19,"CF, RDMF, AMF",18.0,France.xlsx
A. Rabiot,Milan,AMF,30.0,France.xlsx
B. Bouanani,Stuttgart,RWF,21.0,France.xlsx
K. Johnsson,Strasbourg,GK,36.0,France.xlsx
M. Gorgelin,Lens,GK,35.0,France.xlsx
A. Diouf,Internazionale,LCMF,22.0,France.xlsx
 Brad-Hamilton,Nice,LCB,18.0,France.xlsx
M. Mantsounga Hamilton,Nice U17,LCB,18.0,France.xlsx
P. Cabral,Monaco  U19,"RCMF, LCMF, DMF",19.0,France.xlsx
P. Argney,Le Havre,GK,19.0,France.xlsx
S. Kango,Olympique Lyonnais,RB,19.0,France.xlsx
A. Cisse,Strasbourg U19,RB,20.0,France.xlsx
P. Hamel,Paris,CF,31.0,France.xlsx
A. Sylla,Nantes,LCB,23.0,France.xlsx
G. Kamara,Rennes,"LCMF, DMF, RDMF",30.0,France.xlsx
Y. Ndayishimiye,Nice,"DMF, CB",27.0,France.xlsx
Y. Zabiri,Rennes,"CF, RWB, RCMF",21.0,France.xlsx
T. Noubissie,Strasbourg II,"LDMF, RDMF, LCMF",17.0,France.xlsx
R. Nzingoula,Nürnberg,"RWB, CF, LWB",20.0,France.xlsx
C. Wooh,Spartak Moskva,RCB,24.0,France.xlsx
D. Cornelius,Rangers,LCB,28.0,France.xlsx
Elias Legendre,Rennes,"CF, LWB, LW",17.0,France.xlsx
S. Kumbedi,Wolfsburg,RB,20.0,France.xlsx
J. López,Paris,"CF, AMF",34.0,France.xlsx
J. Rowe,Bologna,LAMF,22.0,France.xlsx
D. Lucea,PSG U21,LB,19.0,France.xlsx
Ange Lago,Olympique Marseille II,"CF, RAMF",21.0,France.xlsx
E. Ben Seghir,Bayer Leverkusen,"LAMF, LCMF, LWF",20.0,France.xlsx
T. Mmadi,Olympique Marseille U19,"LWB, LW",19.0,France.xlsx
I. Sabaly,Strasbourg II,LDMF,18.0,France.xlsx
O. Touré,Lille,RB,21.0,France.xlsx
Pol Lirola,Hellas Verona,"RW, LWB, RAMF",28.0,France.xlsx
I. Guerti,Metz,"LCMF, DMF",21.0,France.xlsx
B. Putkaradze,Spaeri,GK,30.0,Georgia.xlsx
N. Kentchadze,Spaeri,RCB,28.0,Georgia.xlsx
Augusto,Gagra,"LCB, CB",22.0,Georgia.xlsx
O. Vorobey,Gagra,GK,30.0,Georgia.xlsx
F. Kljajić,Torpedo Kutaisi,GK,35.0,Georgia.xlsx
K. Andrić,Torpedo Kutaisi,CF,30.0,Georgia.xlsx
M. Šimić,Torpedo Kutaisi,LCB,30.0,Georgia.xlsx
G. Samkharadze,Spaeri,"LB, LDMF",31.0,Georgia.xlsx
U. Mara,Dinamo Batumi,"AMF, RCMF",27.0,Georgia.xlsx
G. Tsirdava,Spaeri,"RAMF, LAMF, LW",28.0,Georgia.xlsx
A. Kalandadze,Dinamo Tbilisi,"RCB, LB, LCB",25.0,Georgia.xlsx
M. Itrak,Torpedo Kutaisi,"LCMF, RDMF, RCMF",26.0,Georgia.xlsx
M. Kobakhidze,Dinamo Batumi,RCB,33.0,Georgia.xlsx
N. Chikovani,Rustavi,LB,21.0,Georgia.xlsx
V. Patsatsia,Rustavi,LCB,28.0,Georgia.xlsx
L. Shovnadze,Meshakhte,GK,28.0,Georgia.xlsx
L. Kurdadze,Meshakhte,"RCB, CB",35.0,Georgia.xlsx
Wanderson,Gagra,"LB, LDMF, LCMF",34.0,Georgia.xlsx
R. Chiteishvili,Dinamo Batumi,RB,32.0,Georgia.xlsx
I. Sikharulidze,Meshakhte,CF,35.0,Georgia.xlsx
Sori Mané,Torpedo Kutaisi,RCB,30.0,Georgia.xlsx
M. Tsintsadze,Gagra,"DMF, RDMF, LCMF",31.0,Georgia.xlsx
V. Mamuchashvili,Torpedo Kutaisi,"RCMF, AMF",28.0,Georgia.xlsx
G. Burduli,Meshakhte,"LB, LWB, LW",23.0,Georgia.xlsx
A. Amisulashvili,Iberia 1999,RCB,19.0,Georgia.xlsx
R. Etou,Dila,RCB,31.0,Georgia.xlsx
D. Kereselidze,Dila,GK,26.0,Georgia.xlsx
S. Kharebashvili,Dinamo Tbilisi,"LB, RB",17.0,Georgia.xlsx
Vinícius Vianna,Samgurali,"RDMF, RCMF, CB",22.0,Georgia.xlsx
I. Iakobidze,Rustavi,RCB,24.0,Georgia.xlsx
Ryan,Samgurali,LCB,24.0,Georgia.xlsx
T. Tsetskhladze,Spaeri,"LDMF, LCMF, AMF",29.0,Georgia.xlsx
N. Kalandarishvili,Dinamo Batumi,"LCB, LB",27.0,Georgia.xlsx
Claudinei,Gagra,RB,24.0,Georgia.xlsx
Felipe Pires,Torpedo Kutaisi,"LW, LDMF",31.0,Georgia.xlsx
João Victor,Dila,LCB,22.0,Georgia.xlsx
O. Abdulmaleek,Dila,"DMF, RCMF, RDMF",20.0,Georgia.xlsx
A. Mylchenko,Dinamo Batumi,"RDMF, DMF, LCB",25.0,Georgia.xlsx
A. Zohouri,Iberia 1999,RB,25.0,Georgia.xlsx
I. Skrypnyk,Gagra,"RCMF, RAMF, AMF",22.0,Georgia.xlsx
G. Papuashvili,Meshakhte,"DMF, LCMF, RDMF",29.0,Georgia.xlsx
G. Arabidze,Torpedo Kutaisi,"RW, RAMF",28.0,Georgia.xlsx
L. Gegetchkori,Samgurali,"RB, RWB",31.0,Georgia.xlsx
L. Ugrekhelidze,Meshakhte,LCB,26.0,Georgia.xlsx
V. Selimović,Iberia 1999,"LCB, RCB",29.0,Georgia.xlsx
J. Tiboue,Dila,LB,26.0,Georgia.xlsx
N. Ninua,Dinamo Tbilisi,"LDMF, DMF, RDMF",26.0,Georgia.xlsx
P. Beruashvili,Rustavi,GK,22.0,Georgia.xlsx
B. Kardava,Iberia 1999,"DMF, LDMF, RDMF",31.0,Georgia.xlsx
D. Ubilava,Rustavi,LCMF,32.0,Georgia.xlsx
S. Zoidze,Gagra,"LAMF, LWF, LW",21.0,Georgia.xlsx
G. Loria,Dinamo Tbilisi,GK,40.0,Georgia.xlsx
J. Jinjolava,Iberia 1999,"LB, LCB",25.0,Georgia.xlsx
G. Japaridze,Dinamo Batumi,"LDMF, LCMF",20.0,Georgia.xlsx
S. Gegiadze,Spaeri,"LAMF, LW, LWF",22.0,Georgia.xlsx
T. Megrelishvili,Iberia 1999,GK,26.0,Georgia.xlsx
G. Bunturi,Spaeri,"LCB, CB",30.0,Georgia.xlsx
T. Askurava,Spaeri,"RDMF, RCMF",25.0,Georgia.xlsx
M. Cherif,Torpedo Kutaisi,RB,26.0,Georgia.xlsx
L. Tsulukidze,Dinamo Batumi,"LAMF, LW, LWF",22.0,Georgia.xlsx
T. Kirkitadze,Dinamo Batumi,"RAMF, RW, RWF",29.0,Georgia.xlsx
L. Kokhreidze,Spaeri,CF,27.0,Georgia.xlsx
Jean,Rustavi,"CF, LWF, RWF",23.0,Georgia.xlsx
Z. Tchavtchanidze,Gagra,RCB,25.0,Georgia.xlsx
V. Arsić,Gagra,"LB, LCB",25.0,Georgia.xlsx
Y. Nakano,Rustavi,"RCMF, LCMF",27.0,Georgia.xlsx
D. Mujiri,Gagra,CF,27.0,Georgia.xlsx
L. Lakvekheliani,Dinamo Batumi,LB,27.0,Georgia.xlsx
P. Osei,Rustavi,"AMF, CF",22.0,Georgia.xlsx
P. Gudushauri,Iberia 1999,"RAMF, RW, CF",28.0,Georgia.xlsx
N. Kurdić,Dinamo Tbilisi,RCB,26.0,Georgia.xlsx
A. Dzagania,Iberia 1999,CF,24.0,Georgia.xlsx
D. Deisadze,Torpedo Kutaisi,CF,21.0,Georgia.xlsx
B. Shubitidze,Meshakhte,"RB, RWB",32.0,Georgia.xlsx
Gean Carlos,Samgurali,"LAMF, LB, LW",23.0,Georgia.xlsx
G. Pirtakhia,Spaeri,"LCB, LB",21.0,Georgia.xlsx
A. Andreychuk,Gagra,CF,23.0,Georgia.xlsx
L. Menteshashvili,Dila,"LCMF, AMF, RW",23.0,Georgia.xlsx
G. Kutsia,Iberia 1999,"LDMF, RCMF, RDMF",26.0,Georgia.xlsx
T. Nadaraia,Torpedo Kutaisi,LB,29.0,Georgia.xlsx
N. Ugrekhelidze,Dinamo Tbilisi,LCB,22.0,Georgia.xlsx
B. Osei,Dinamo Tbilisi,"RDMF, RCMF, AMF",31.0,Georgia.xlsx
Cláudio Cebolinha,Samgurali,CF,23.0,Georgia.xlsx
V. Bedoshvili,Iberia 1999,"LAMF, LW, RAMF",22.0,Georgia.xlsx
O. Parulava,Dila,"LW, LAMF",25.0,Georgia.xlsx
L. Kupatadze,Dinamo Batumi,GK,30.0,Georgia.xlsx
N. Dadiani,Iberia 1999,"RDMF, RCMF",21.0,Georgia.xlsx
S. Andghuladze,Rustavi,RB,20.0,Georgia.xlsx
L. Shergelashvili,Samgurali,LB,34.0,Georgia.xlsx
Wellissol,Samgurali,"LAMF, RAMF, CF",28.0,Georgia.xlsx
G. Gvasalia,Dinamo Tbilisi U19,RB,18.0,Georgia.xlsx
A. Gujabidze,Rustavi,DMF,28.0,Georgia.xlsx
S. Kessi,Rustavi,"CF, RWF",22.0,Georgia.xlsx
N. Chagunava,Spaeri,RB,25.0,Georgia.xlsx
Rui Monteiro,Dinamo Tbilisi,"RAMF, RW",23.0,Georgia.xlsx
A. Marc Dylan Yoro,Dinamo Tbilisi,"RDMF, RCMF, LCMF",19.0,Georgia.xlsx
L. Kekelidze,Gagra,"AMF, LCMF",23.0,Georgia.xlsx
D. Mandrîcenco,Dinamo Batumi,CF,29.0,Georgia.xlsx
Tsotne Patsatsia,Meshakhte,"RW, CF, RCMF",26.0,Georgia.xlsx
P. Poniava,Spaeri,"AMF, CF",32.0,Georgia.xlsx
M. Jikia,Meshakhte,"LCMF, AMF",35.0,Georgia.xlsx
A. Basiladze,Torpedo Kutaisi,"LB, LAMF, LW",20.0,Georgia.xlsx
T. Kikabidze,Dila,RB,30.0,Georgia.xlsx
Eric Pimentel,Meshakhte,RCB,23.0,Georgia.xlsx
L. Kapianidze,Dinamo Batumi,"LCB, CB, RCB",27.0,Georgia.xlsx
N. Khorkheli,Samgurali,"AMF, CF, RCMF",24.0,Georgia.xlsx
T. Fuller,Dila,"RW, RAMF",23.0,Georgia.xlsx
M. Pyrogov,Meshakhte,"LCMF, RCMF",29.0,Georgia.xlsx
D. Ghurtskaya,Meshakhte,"CF, LW",22.0,Georgia.xlsx
M. Shatirishvili,Samgurali,RCB,17.0,Georgia.xlsx
A. Siukaev,Samgurali,GK,30.0,Georgia.xlsx
G. Kokhreidze,Dinamo Batumi,"CF, LCMF",20.0,Georgia.xlsx
G. Goshteliani,Iberia 1999,"AMF, CF",29.0,Georgia.xlsx
A. Oumar Tall,Dila,"RCMF, LCMF, CF",19.0,Georgia.xlsx
S. Mathenjwa,Spaeri,"RB, RAMF, RWB",30.0,Georgia.xlsx
O. Aptsiauri,Samgurali,"LDMF, LCMF",24.0,Georgia.xlsx
N. Donkori,Dinamo Tbilisi,"LAMF, LW",19.0,Georgia.xlsx
G. Kharebashvili,Dinamo Tbilisi,"RAMF, LW, CF",29.0,Georgia.xlsx
G. Putkaradze,Dinamo Batumi,"RDMF, DMF, RCMF",20.0,Georgia.xlsx
Léo Santos,Dinamo Tbilisi,"LB, LAMF",22.0,Georgia.xlsx
K. Seikhasi,Rustavi,"RCMF, RAMF",28.0,Georgia.xlsx
M. Kvirkvia,Meshakhte,"RCMF, RW, CF",29.0,Georgia.xlsx
L. Kutaladze,Samgurali,GK,25.0,Georgia.xlsx
S. Shekiladze,Dila,"CF, RW",26.0,Georgia.xlsx
N. Mali,Dila,"RB, RW",27.0,Georgia.xlsx
A. Jarjue Kabia,Samgurali,RCB,25.0,Georgia.xlsx
N. Tsetskhladze,Samgurali,"RAMF, RW",20.0,Georgia.xlsx
A. Bartishvili,Iberia 1999,"AMF, CF, LCMF",17.0,Georgia.xlsx
M. Turmanidze,Dinamo Batumi,GK,20.0,Georgia.xlsx
I. Siradze,Dinamo Tbilisi,CF,25.0,Georgia.xlsx
I. Janjghava,Samgurali,LDMF,25.0,Georgia.xlsx
A. Peikrishvili,Gagra,"RCMF, RDMF",19.0,Georgia.xlsx
Manuel Pami,Rustavi,DMF,27.0,Georgia.xlsx
B. Anoff,Dila,"RCMF, CF, LCMF",25.0,Georgia.xlsx
L. Papava,Samgurali,CF,32.0,Georgia.xlsx
Z. Museliani,Dila,CF,26.0,Georgia.xlsx
G. Kobuladze,Iberia 1999,LB,29.0,Georgia.xlsx
Rodrigo Ramos,Dinamo Tbilisi,"AMF, CF",22.0,Georgia.xlsx
M. Kapanadze,Rustavi,RB,22.0,Georgia.xlsx
G. Gegia,Meshakhte,"LB, LCB",30.0,Georgia.xlsx
Warley,Torpedo Kutaisi,"RB, RAMF, LB",26.0,Georgia.xlsx
G. Tsetskhladze,Spaeri,CF,24.0,Georgia.xlsx
Lucas Café,Iberia 1999,"LW, LAMF, CF",23.0,Georgia.xlsx
N. Kutateladze,Rustavi,"LWF, CF",25.0,Georgia.xlsx
Pedro Borges,Gagra,"RAMF, RWF",20.0,Georgia.xlsx
Jackson,Rustavi,"CF, AMF",27.0,Georgia.xlsx
B. Gabiskiria,Meshakhte,"RW, RB",29.0,Georgia.xlsx
Jefinho,Samgurali,"AMF, LCMF",37.0,Georgia.xlsx
O. Chochia,Gagra,RCB,19.0,Georgia.xlsx
Z. Natchkebia,Iberia 1999,"AMF, RB, LAMF",26.0,Georgia.xlsx
M. Kanté,Dila,"CF, RW, RAMF",22.0,Georgia.xlsx
R. Compaoré,Dila,"LB, LCB",19.0,Georgia.xlsx
M. Vatsadze,Dinamo Tbilisi,CF,37.0,Georgia.xlsx
D. Bukia,Torpedo Kutaisi,"RB, RCB",20.0,Georgia.xlsx
L. Khozrevanidze,Dinamo Batumi,CF,20.0,Georgia.xlsx
M. Sanyang,Dila,"LW, RAMF, LAMF",23.0,Georgia.xlsx
Z. Golubiani,Spaeri,"RAMF, RW, RDMF",25.0,Georgia.xlsx
T. Shonia,Meshakhte,"RCMF, LCMF, LW",35.0,Georgia.xlsx
K. Doltmurziev,Dinamo Tbilisi II,CF,19.0,Georgia.xlsx
G. Makaridze,Iberia 1999,GK,36.0,Georgia.xlsx
T. Šikalo,Meshakhte,"RCMF, LCMF, AMF",22.0,Georgia.xlsx
Z. Basilashvili,Spaeri,"CF, AMF",34.0,Georgia.xlsx
G. Sadghobelashvili,Gagra,"RB, RW",21.0,Georgia.xlsx
M. Makatsaria,Dinamo Tbilisi,GK,21.0,Georgia.xlsx
A. Kabia,Samgurali,RCB,25.0,Georgia.xlsx
G. Kokhreidze,Torpedo Kutaisi,"LW, CF, LCMF",27.0,Georgia.xlsx
G. Kharaishvili,Dinamo Tbilisi,"AMF, CF, LWF",29.0,Georgia.xlsx
G. Zaria,Dinamo Tbilisi,"RW, AMF, LCMF",28.0,Georgia.xlsx
N. Abuladze,Meshakhte,"RCMF, LDMF",28.0,Georgia.xlsx
R. Jobava,Rustavi,GK,20.0,Georgia.xlsx
L. Kvaratskhelia,Samgurali,"RAMF, RB",24.0,Georgia.xlsx
D. Abuselidze,Dinamo Batumi,"RW, RAMF, RB",20.0,Georgia.xlsx
T. Berelidze,Samgurali,RCMF,20.0,Georgia.xlsx
I. Bidzinashvili,Iberia 1999,"AMF, CF, DMF",29.0,Georgia.xlsx
David Oliveira,Rustavi,"LCB, RCB",23.0,Georgia.xlsx
T. Akhvlediani,Iberia 1999,CF,26.0,Georgia.xlsx
D. Kvartskhava,Dinamo Tbilisi,"RB, RW, LAMF",19.0,Georgia.xlsx
K. Zita,Torpedo Kutaisi,"LAMF, LW, CF",20.0,Georgia.xlsx
G. Pipia,Gagra,"RW, CF, RWB",20.0,Georgia.xlsx
G. Jalaghonia,Dila,"LW, LB, LAMF",28.0,Georgia.xlsx
L. Kouakou Kouadio,Dila,"RCMF, LCMF",22.0,Georgia.xlsx
D. Gotsiridze,Dila,CF,21.0,Georgia.xlsx
B. Nikoloz,Saburtalo II,"LCB, LCMF",18.0,Georgia.xlsx
G. Gogmachadze,Dinamo Batumi,"LW, AMF, LB",20.0,Georgia.xlsx
B. Jibril,Rustavi,"CF, RWF",22.0,Georgia.xlsx
B. Baramidze,Dinamo Batumi,"RW, RAMF, RCMF",17.0,Georgia.xlsx
L. Chikhradze,Meshakhte,"RW, LW",24.0,Georgia.xlsx
E. Boansi,Dila,"LW, LWB, RW",19.0,Georgia.xlsx
R. Adeyemi,Gagra,"LW, LWF, RB",19.0,Georgia.xlsx
G. Darsania,Gagra,"CF, RW, LWB",19.0,Georgia.xlsx
I. Mekhtievi,Meshakhte,"CF, RCMF, RW",20.0,Georgia.xlsx
T. Kongolo,Iberia 1999,LCB,32.0,Georgia.xlsx
G. Khachidze,Iberia 1999,"RW, RAMF, LW",20.0,Georgia.xlsx
T. Tsalughelashvili,Spaeri,"RDMF, RAMF, LAMF",25.0,Georgia.xlsx
J. Kankava,Dinamo Tbilisi,,39.0,Georgia.xlsx
G. Gogolashvili,Samgurali,CF,28.0,Georgia.xlsx
V. Bliznichenko,Torpedo Kutaisi,"RAMF, LAMF, RW",23.0,Georgia.xlsx
S. Chkhetiani,Samgurali,"LW, LAMF",18.0,Georgia.xlsx
G. Gogia,Samgurali,"LB, LAMF",20.0,Georgia.xlsx
G. Kobakhidze,Dila,RCMF,17.0,Georgia.xlsx
N. Japaridze,Rustavi,"CF, RWF",22.0,Georgia.xlsx
I. Katsiashvili,Gagra,"CF, LWB",19.0,Georgia.xlsx
J. Onomah,Dinamo Tbilisi,"CF, LCMF",29.0,Georgia.xlsx
I. Dgebuadze,Meshakhte,"LAMF, LW",20.0,Georgia.xlsx
Otar Gordeziani,Spaeri,"LDMF, AMF, RDMF",20.0,Georgia.xlsx
G. Chkheidze,Rustavi,"CF, RWF, AMF",20.0,Georgia.xlsx
G. Bisieshvili,Dinamo Batumi,"DMF, LCB",19.0,Georgia.xlsx
Rafael Lima,Meshakhte,RAMF,21.0,Georgia.xlsx
R. Aleksidze,Dinamo Tbilisi U19,AMF,19.0,Georgia.xlsx
A. NJI,Dinamo Tbilisi,"LW, LAMF",18.0,Georgia.xlsx
T. Kvaratskhelia,Dinamo Tbilisi,LW,16.0,Georgia.xlsx
A. Kutateladze,Rustavi,LCMF,18.0,Georgia.xlsx
Z. Tavgiridze,Dinamo Batumi U17,CF,20.0,Georgia.xlsx
Z. Tedoradze,Dinamo Batumi,LCB,19.0,Georgia.xlsx
G. Grigalashvili,Spaeri,LCB,23.0,Georgia.xlsx
L. Gobejishvili,Gagra,"RCMF, CF, DMF",,Georgia.xlsx
D. Dobranskyi,Rustavi,RCB,22.0,Georgia.xlsx
L. Kachibaia,Spaeri,"LDMF, RB",19.0,Georgia.xlsx
L. Kuprava,Torpedo Kutaisi,"LB, LAMF",17.0,Georgia.xlsx
R. Novruzov,Meshakhte,"CF, RCB",23.0,Georgia.xlsx
M. Chitaishvili,Torpedo Kutaisi,CF,22.0,Georgia.xlsx
A. Mashava,Rustavi,LCMF,20.0,Georgia.xlsx
G. Lomidze,Dinamo Tbilisi U19,"CF, RDMF",18.0,Georgia.xlsx
G. Goletiani,Samgurali,LAMF,19.0,Georgia.xlsx
M. Tereladze,Meshakhte,LCMF,24.0,Georgia.xlsx
J. Gräser,Memmingen,"RCB, LCB",27.0,Germany 4 - Part I.xlsx
S. Bahar,Buchbach,"RB, RDMF",28.0,Germany 4 - Part I.xlsx
T. Stoßberger,Buchbach,"CF, RW",26.0,Germany 4 - Part I.xlsx
M. Schöller,Wacker Burghausen,GK,31.0,Germany 4 - Part I.xlsx
B. Baier,Viktoria Aschaffenburg,"CB, LCMF, DMF",37.0,Germany 4 - Part I.xlsx
R. Manz,Ansbach,LB,26.0,Germany 4 - Part I.xlsx
F. Lamprecht,Eichstätt,LB,30.0,Germany 4 - Part I.xlsx
B. Bösl,Eichstätt,RCB,28.0,Germany 4 - Part I.xlsx
D. Dewein,Memmingen,GK,26.0,Germany 4 - Part I.xlsx
M. Nickel,Aubstadt,"LCB, DMF, RCB",26.0,Germany 4 - Part I.xlsx
E. Farahnak,Würzburger Kickers,LCB,28.0,Germany 4 - Part I.xlsx
T. Dietrich,Ansbach,"RCMF, LCMF, DMF",29.0,Germany 4 - Part I.xlsx
P. Schittler,Eichstätt,"CF, AMF",27.0,Germany 4 - Part I.xlsx
E. Schwarz,Bayreuth,"RCB, LCB, RCMF",31.0,Germany 4 - Part I.xlsx
J. Hipper,Würzburger Kickers,GK,27.0,Germany 4 - Part I.xlsx
S. Sturm,Aubstadt,"CF, AMF, LW",26.0,Germany 4 - Part I.xlsx
M. Gevorgyan,Unterhaching,"LCMF, LDMF",20.0,Germany 4 - Part I.xlsx
D. Bauer,Memmingen,"LCB, RCB, CB",31.0,Germany 4 - Part I.xlsx
D. Deger,Augsburg II,"DMF, LCMF, LDMF",26.0,Germany 4 - Part I.xlsx
M. Neuberger,Illertissen,RCB,26.0,Germany 4 - Part I.xlsx
D. Hägele,Würzburger Kickers,RCB,37.0,Germany 4 - Part I.xlsx
S. Maier,Hankofen-Hailing,GK,31.0,Germany 4 - Part I.xlsx
T. Bonga,Würzburger Kickers,"CF, RAMF",29.0,Germany 4 - Part I.xlsx
M. Kufner,Vilzing,RCB,27.0,Germany 4 - Part I.xlsx
L. Schraufstetter,Eichstätt,"RCMF, RDMF, AMF",31.0,Germany 4 - Part I.xlsx
B. Schwarzensteiner,Wacker Burghausen,RCB,22.0,Germany 4 - Part I.xlsx
R. Tavra,Buchbach,"LCB, RCB",24.0,Germany 4 - Part I.xlsx
E. Weeger,Ansbach,"RCB, LCB",29.0,Germany 4 - Part I.xlsx
N. Ortel,Unterhaching,"DMF, RDMF",22.0,Germany 4 - Part I.xlsx
Y. Glessing,Illertissen,"CF, LAMF, RW",28.0,Germany 4 - Part I.xlsx
B. Kirsch,Nürnberg II,"DMF, RCMF, LCMF",30.0,Germany 4 - Part I.xlsx
A. Breuer,Unterhaching,"LB, RB",20.0,Germany 4 - Part I.xlsx
D. Ruisinger,Schwaben Augsburg,"LB, LWB",25.0,Germany 4 - Part I.xlsx
